capital,state,lga,latitude,longitude
Enagi,Niger,Edati,9.133333,5.55
Ede,Osun,Ede North,7.733333,4.433333
xx,Osun,Ede South,7.7056172,4.4460028
Lafiagi,Kwara,Edu,8.866667,5.416667
Efon-Alaiye,Ekiti,Efon-Alayee,7.65,4.916667
Aiyetoro,Ogun,Egbado North,7.233333,3.033333
Ilaro,Ogun,Egbado South,6.886528,3.020501
Egbeda,Oyo,Egbeda,7.366667,4.05
Uselu,Edo,Egor,6.384544,5.610999
Umueze,Imo,Ehime-Mbano,5.632472,7.305403
Ejigbo,Osun,Ejigbo,7.9,4.316667
Ekeremor,Bayelsa,Ekeremor,5.055631,5.780063
Eket,Akwa lbom,Eket,4.641221,7.920921
Araromi-Opin,Kwara,Ekiti,8.066667,5.25
Omuo-Ekiti,Ekiti,Ekiti East,7.75733,5.7228
Ilawe-Ekiti,Ekiti,Ekiti South West,7.5986,5.1086
Aramoko-Ekiti,Ekiti,Ekiti West,7.709272,5.044737
Ekwusigo,Anambra,Ekwusigo,5.971462,6.835242
Ogali,Rivers,Eleme,4.786044,7.126889
Emohua,Rivers,Emohua,4.881621,6.86247
Emure-Ekiti,Ekiti,Emure,7.436137,5.459322
Enugu,Enugu,Enugu East,6.5,7.5
Enugu,Enugu,Enugu North,6.4402,7.4943
Uwani,Enugu,Enugu South,6.41505,7.49866
Epe,Lagos,Epe,6.583333,3.983333
Irrua,Edo,Esan Central,6.733703,6.218711
Uromi,Edo,Esan North East,6.707294,6.328434
Ubiaja,Edo,Esan South East,6.655043,6.386872
Ekpoma,Edo,Esan West,6.742063,6.139003
Igbekebo,Ondo,Ese-Odo,6.35458,4.862704
Ikot Ebak Efagha,Akwa lbom,Essien Udim,5.125042,7.657165
Okehi,Rivers,Etche,5.136058,7.135654
Isiokolo,Delta,Ethiope East,5.594958,6.000513
Ethiope River,Delta,Ethiope West,5.900272,5.691736
"Etim Ekpo, River",Akwa lbom,Etim Ekpo,5.009502,7.619896
Etinan,Akwa lbom,Etinan,4.842617,7.852523
Ikoyi,Lagos,Eti-Osa,6.456061,3.442218
Fugar,Edo,Etsako Central,7.083333,6.5
Agenebode,Edo,Etsako East,7.106,6.6966
Auchi,Edo,Etsako West,7.066667,6.266667
Efferaya,Cross River,Etung,5.858,8.7247
Ewekoro,Ogun,Ewekoro,6.907079,3.208703
Ezeagu,Enugu,Ezeagu,6.3832,7.2898
Okpofe,Imo,Ezinihitte,5.474134,7.300303
Okposi,Ebonyi,Ezza North,6.285724,8.013431
Onueke,Ebonyi,Ezza South,6.16823,8.03142
Fagge,Kano,Fagge,12.006697,8.529155
Fakai,Kebbi,Fakai,11.504777,5.111274
Faskari,Katsina,Faskari,11.719573,7.027157
Fika,Yobe,Fika,11.2834,11.308
