Num,longitude,latitude
178,-7.574523152,13.27529047
179,-7.751458652,12.73102822
180,-7.205980776,13.21705547
181,-7.512675527,14.0094106
182,-7.386647277,13.46584897
183,-7.335918527,13.57493947
184,-7.546394402,13.7800886
185,-7.146433276,14.03058322
186,-7.179902276,13.87192797
187,-7.040054776,13.60645285
188,-6.524493526,12.09916935
189,-6.424444651,12.39249997
190,-7.145601401,12.75067097
191,-6.664941026,12.35162322
192,-6.346667401,12.20485947
193,-6.407936526,12.47505547
194,-7.245555402,12.6700001
195,-6.497777901,12.56027797
196,-6.959215401,12.77709372
197,-6.361367401,12.38139647
198,-6.938585026,12.14214285
199,-6.838297901,12.7382801
200,-6.593333276,12.36277772
201,-6.773048026,11.85775572
202,-6.606302651,12.6661236
203,-6.207810276,12.2125606
204,-6.871086651,12.37287497
205,-6.715269651,12.1739461
206,-6.577008776,11.7961101
207,-7.082500026,12.6730556
208,-6.695277651,12.59916685
209,-7.287108402,12.73387897
210,-8.758416778,12.18322472
211,-8.637069153,12.04150122
212,-8.619819278,11.7638346
213,-8.525721653,12.12919972
214,-8.357174903,11.9267806
215,-8.633189528,12.22634885
216,-8.673668028,11.7127896
217,-8.339385153,11.7405626
218,-7.775298027,12.61229685
219,-8.269007152,12.20228697
220,-8.462613903,12.8483286
221,-7.798707152,12.30936785
222,-8.309397653,13.21920422
223,-8.156389277,12.7775001
224,-7.927394402,12.25976285
225,-7.968888777,12.70833297
226,-8.206659527,13.05659885
227,-8.243558402,12.80080435
228,-8.276944152,12.76083372
229,-8.182959527,12.70579535
230,-8.146989277,11.90323847
231,-8.028888652,12.57222172
232,-8.173020152,12.9494686
233,-8.103055902,12.7947226
234,-8.288430778,12.0086516
235,-8.085611527,12.54173972
236,-7.867107152,12.68491285
237,-7.817217152,12.52430835
238,-7.847777902,12.6933336
239,-7.490733777,12.4232491
240,-8.233657902,12.13154022
241,-8.878804653,12.40864597
242,-8.338186778,13.13581622
243,-7.913174402,11.99164722
244,-7.920805152,12.7686816
245,-7.705428777,12.0554836
246,-7.937778027,12.3986111
247,-7.927777777,12.68388847
248,-8.333796028,12.3757936
249,-8.741787528,12.43185835
250,-8.162338777,11.7111501
251,-7.567392027,12.2983571
252,-8.041022777,12.97232097
253,-7.566433652,13.56705835
254,-8.088243152,13.87819735
255,-8.245349277,13.49933097
256,-7.806668527,13.48909072
257,-7.858237152,13.21998485
258,-7.936785152,13.09505285
259,-7.931565527,13.20103297
260,-8.102093027,14.08442697
261,-8.381636653,13.6897291
262,-7.991454527,13.37902997
263,-8.740041153,15.2235941
264,-8.426847653,15.07158022
265,-7.670333527,14.99858435
266,-8.586604653,15.3388251
267,-7.930167402,14.5935256
268,-7.086956526,15.28070185
269,-6.693163651,14.6376816
270,-7.610565402,15.33130585
271,-7.471567027,14.46870435
272,-7.454688277,14.98949385
273,-5.972053025,10.58674447
274,-5.907470275,10.5316496
275,-6.144359651,10.7403891
276,-5.69880915,10.9684916
277,-5.605671025,10.88866397
278,-6.077310525,10.3134781
279,-5.50424315,10.8566511
280,-5.653969525,10.49187572
281,-4.544745024,12.40767147
282,-5.038154524,12.21884272
283,-4.899977774,12.5011401
284,-4.689992274,12.59194897
285,-4.814309024,12.18270947
286,-4.630182774,12.1328751
287,-4.673333149,12.39555547
288,-5.061183899,12.10759197
289,-6.911520026,10.78608035
290,-6.919093526,10.54442935
291,-6.848755151,10.82436635
292,-6.504262276,10.7502196
293,-7.041431776,11.27320922
294,-6.549441776,11.11307447
295,-6.786967026,11.24868722
296,-6.317986276,10.87012135
297,-7.091879901,10.9741001
298,-6.384334776,10.7541501
299,-6.630590026,11.06139947
300,-8.201047902,11.64124322
301,-7.806215652,11.14774647
302,-7.982972402,11.60803022
303,-8.520160778,11.14513535
304,-7.762456402,11.03702585
305,-8.003941152,10.91138347
306,-8.196317027,10.78641122
307,-7.949410027,10.50065285
308,-8.312085278,11.39705985
309,-8.264016277,11.31799235
310,-8.244070027,11.63971997
311,-8.441360528,11.22626972
312,-5.6310044,13.6350576
313,-6.059713525,12.37063597
314,-5.4062864,11.89604122
315,-5.69250015,12.2100001
316,-5.56944465,12.6088886
317,-5.1636109,12.59972185
318,-5.28804915,11.9985211
319,-5.901177275,12.6773356
320,-5.457885775,12.20933122
321,-5.761944275,12.5663891
322,-5.3282784,12.17144772
323,-6.177741276,12.47527572
324,-5.187500025,12.1724996
325,-5.8801574,12.39864885
326,-5.189162025,12.66657547
327,-5.12740315,12.5725866
328,-5.2447224,12.39083285
329,-5.996695275,12.6275606
330,-5.721901025,12.66625472
331,-5.25680015,12.27959822
332,-5.4530554,12.58555597
333,-5.686111025,12.4222221
334,-5.478611025,12.2969446
335,-5.771049775,12.52648122
336,-5.4341664,12.35166647
337,-5.55000015,12.0874996
338,-5.33972215,12.59249972
339,-5.4760559,12.5103901
340,-5.25444465,12.51972197
341,-5.605833525,12.67416672
342,-5.31495915,12.45498497
343,-4.992945899,12.5341631
344,-5.6227324,12.15597585
345,-5.668611025,12.73111147
346,-5.15856215,12.3070611
347,-7.325515402,10.92324535
348,-8.000511902,11.41832222
349,-6.990713151,11.5524061
350,-7.151679026,11.0078736
351,-7.333346402,11.88638785
352,-6.889385526,11.72701297
353,-7.625430152,11.35093972
354,-7.771626527,11.30920185
355,-7.439593152,10.97479022
356,-7.792066652,11.82689147
357,-7.541011652,11.52653297
358,-7.441669902,11.42500022
359,-6.845656026,11.40317197
360,-7.728630027,11.3487101
361,-7.254128277,12.09604797
362,-7.920413777,11.69753897
363,-6.856979901,11.7086401
364,-7.449092402,10.4581706
365,-7.599190527,11.66476622
366,-7.484362527,11.2204236
367,-6.672680026,11.73470397
368,-7.530300777,10.55257947
369,-7.155419026,10.87931122
370,-7.252937402,11.37981935
371,-6.434444401,11.60444447
372,-6.346046651,11.60866235
373,-5.482504275,11.48453147
